,Unnamed: 0,dao_id,proposal_id,bribe_function,private_ratio,noised_ratio,target_side,epsilon,w_max,W_total,num_voters,public_cost_abs,private_cost_abs,noised_cost_abs,min_swing_voters
0,0,balancer.eth,0x5bcccb1a57d7609154d18624ff3af1d0fba7ef925498afe6686e716c2b1c8400,top_mdc_log,1.0,1.0,losing,9.029237938684776e-06,3162781.270370502,3317812.9692641124,52,,,,1
1,1,balancer.eth,0x5bcccb1a57d7609154d18624ff3af1d0fba7ef925498afe6686e716c2b1c8400,linear_weight,1.0,1.0,losing,9.029237938684776e-06,3162781.270370502,3317812.9692641124,52,,,,1
2,2,balancer.eth,0x5bcccb1a57d7609154d18624ff3af1d0fba7ef925498afe6686e716c2b1c8400,whale_90,1.0,1.0,losing,9.029237938684776e-06,3162781.270370502,3317812.9692641124,52,,,,1
3,3,balancer.eth,0x5bcccb1a57d7609154d18624ff3af1d0fba7ef925498afe6686e716c2b1c8400,whale_99,1.0,1.0,losing,9.029237938684776e-06,3162781.270370502,3317812.9692641124,52,,,,1
4,4,balancer.eth,0x5bcccb1a57d7609154d18624ff3af1d0fba7ef925498afe6686e716c2b1c8400,log_whale_99,1.0,1.0,losing,9.029237938684776e-06,3162781.270370502,3317812.9692641124,52,,,,1
5,5,balancer.eth,0x5bcccb1a57d7609154d18624ff3af1d0fba7ef925498afe6686e716c2b1c8400,top_10,1.0,1.0,losing,9.029237938684776e-06,3162781.270370502,3317812.9692641124,52,,,,1
6,6,balancer.eth,0xb7ef2951a58d3edd37035d98c4e61c3a95d503f477503c9db48f3501ec2e0e26,top_mdc_log,1.0,1.0,losing,9.02466607533056e-06,3158556.669477588,3319493.7613736163,59,,,,1
7,7,balancer.eth,0xb7ef2951a58d3edd37035d98c4e61c3a95d503f477503c9db48f3501ec2e0e26,linear_weight,1.0,1.0,losing,9.02466607533056e-06,3158556.669477588,3319493.7613736163,59,,,,1
8,8,balancer.eth,0xb7ef2951a58d3edd37035d98c4e61c3a95d503f477503c9db48f3501ec2e0e26,whale_90,1.0,1.0,losing,9.02466607533056e-06,3158556.669477588,3319493.7613736163,59,,,,1
9,9,balancer.eth,0xb7ef2951a58d3edd37035d98c4e61c3a95d503f477503c9db48f3501ec2e0e26,whale_99,1.0,1.0,losing,9.02466607533056e-06,3158556.669477588,3319493.7613736163,59,,,,1
10,10,balancer.eth,0xb7ef2951a58d3edd37035d98c4e61c3a95d503f477503c9db48f3501ec2e0e26,log_whale_99,1.0,1.0,losing,9.02466607533056e-06,3158556.669477588,3319493.7613736163,59,,,,1
11,11,balancer.eth,0xb7ef2951a58d3edd37035d98c4e61c3a95d503f477503c9db48f3501ec2e0e26,top_10,1.0,1.0,losing,9.02466607533056e-06,3158556.669477588,3319493.7613736163,59,,,,1
12,12,balancer.eth,0x6d5712215694b04fe6cce844d6959b7e61be539dbc5da24110f3ddc7eb35c62b,top_mdc_log,1.0,1.0,losing,8.490023830402126e-06,3161578.5215673605,3528532.2319432157,66,,,,1
13,13,balancer.eth,0x6d5712215694b04fe6cce844d6959b7e61be539dbc5da24110f3ddc7eb35c62b,linear_weight,1.0,1.0,losing,8.490023830402126e-06,3161578.5215673605,3528532.2319432157,66,,,,1
14,14,balancer.eth,0x6d5712215694b04fe6cce844d6959b7e61be539dbc5da24110f3ddc7eb35c62b,whale_90,1.0,1.0,losing,8.490023830402126e-06,3161578.5215673605,3528532.2319432157,66,,,,1
15,15,balancer.eth,0x6d5712215694b04fe6cce844d6959b7e61be539dbc5da24110f3ddc7eb35c62b,whale_99,1.0,1.0,losing,8.490023830402126e-06,3161578.5215673605,3528532.2319432157,66,,,,1
16,16,balancer.eth,0x6d5712215694b04fe6cce844d6959b7e61be539dbc5da24110f3ddc7eb35c62b,log_whale_99,1.0,1.0,losing,8.490023830402126e-06,3161578.5215673605,3528532.2319432157,66,,,,1
17,17,balancer.eth,0x6d5712215694b04fe6cce844d6959b7e61be539dbc5da24110f3ddc7eb35c62b,top_10,1.0,1.0,losing,8.490023830402126e-06,3161578.5215673605,3528532.2319432157,66,,,,1
18,18,balancer.eth,0xb247409dad6f66c7531140f364c92875a90bee3ff3b5d7e353db3ba574caf159,top_mdc_log,1.0,1.0,losing,8.413750529998365e-06,3161556.395248577,3560519.4887500103,64,,,,1
19,19,balancer.eth,0xb247409dad6f66c7531140f364c92875a90bee3ff3b5d7e353db3ba574caf159,linear_weight,1.0,1.0,losing,8.413750529998365e-06,3161556.395248577,3560519.4887500103,64,,,,1
20,20,balancer.eth,0xb247409dad6f66c7531140f364c92875a90bee3ff3b5d7e353db3ba574caf159,whale_90,1.0,1.0,losing,8.413750529998365e-06,3161556.395248577,3560519.4887500103,64,,,,1
21,21,balancer.eth,0xb247409dad6f66c7531140f364c92875a90bee3ff3b5d7e353db3ba574caf159,whale_99,1.0,1.0,losing,8.413750529998365e-06,3161556.395248577,3560519.4887500103,64,,,,1
22,22,balancer.eth,0xb247409dad6f66c7531140f364c92875a90bee3ff3b5d7e353db3ba574caf159,log_whale_99,1.0,1.0,losing,8.413750529998365e-06,3161556.395248577,3560519.4887500103,64,,,,1
23,23,balancer.eth,0xb247409dad6f66c7531140f364c92875a90bee3ff3b5d7e353db3ba574caf159,top_10,1.0,1.0,losing,8.413750529998365e-06,3161556.395248577,3560519.4887500103,64,,,,1
24,24,balancer.eth,0xeae89b6d36445a9e8fe7b54d883d67532a534011b9db45de25295c006c8fd47a,top_mdc_log,1.0,1.0,losing,8.968606976585333e-06,3162816.93295166,3340242.5609406875,53,,,,1
25,25,balancer.eth,0xeae89b6d36445a9e8fe7b54d883d67532a534011b9db45de25295c006c8fd47a,linear_weight,1.0,1.0,losing,8.968606976585333e-06,3162816.93295166,3340242.5609406875,53,,,,1
26,26,balancer.eth,0xeae89b6d36445a9e8fe7b54d883d67532a534011b9db45de25295c006c8fd47a,whale_90,1.0,1.0,losing,8.968606976585333e-06,3162816.93295166,3340242.5609406875,53,,,,1
27,27,balancer.eth,0xeae89b6d36445a9e8fe7b54d883d67532a534011b9db45de25295c006c8fd47a,whale_99,1.0,1.0,losing,8.968606976585333e-06,3162816.93295166,3340242.5609406875,53,,,,1
28,28,balancer.eth,0xeae89b6d36445a9e8fe7b54d883d67532a534011b9db45de25295c006c8fd47a,log_whale_99,1.0,1.0,losing,8.968606976585333e-06,3162816.93295166,3340242.5609406875,53,,,,1
29,29,balancer.eth,0xeae89b6d36445a9e8fe7b54d883d67532a534011b9db45de25295c006c8fd47a,top_10,1.0,1.0,losing,8.968606976585333e-06,3162816.93295166,3340242.5609406875,53,,,,1
30,30,balancer.eth,0x7838fe87da2da9aea2bc6896a84d0dd987b218c550418899b8894c2dc7377e66,top_mdc_log,1.0,1.0,losing,8.488443074169086e-06,3161588.35548682,3529189.331162754,58,,,,1
31,31,balancer.eth,0x7838fe87da2da9aea2bc6896a84d0dd987b218c550418899b8894c2dc7377e66,linear_weight,1.0,1.0,losing,8.488443074169086e-06,3161588.35548682,3529189.331162754,58,,,,1
32,32,balancer.eth,0x7838fe87da2da9aea2bc6896a84d0dd987b218c550418899b8894c2dc7377e66,whale_90,1.0,1.0,losing,8.488443074169086e-06,3161588.35548682,3529189.331162754,58,,,,1
33,33,balancer.eth,0x7838fe87da2da9aea2bc6896a84d0dd987b218c550418899b8894c2dc7377e66,whale_99,1.0,1.0,losing,8.488443074169086e-06,3161588.35548682,3529189.331162754,58,,,,1
34,34,balancer.eth,0x7838fe87da2da9aea2bc6896a84d0dd987b218c550418899b8894c2dc7377e66,log_whale_99,1.0,1.0,losing,8.488443074169086e-06,3161588.35548682,3529189.331162754,58,,,,1
35,35,balancer.eth,0x7838fe87da2da9aea2bc6896a84d0dd987b218c550418899b8894c2dc7377e66,top_10,1.0,1.0,losing,8.488443074169086e-06,3161588.35548682,3529189.331162754,58,,,,1
36,36,balancer.eth,0x0f2948f53a82df8aa543b352290cea414bb75c2b59193505e282614df690bd06,top_mdc_log,1.0,1.0,losing,8.413625694013122e-06,3161598.189406279,3560572.3174560308,61,,,,1
37,37,balancer.eth,0x0f2948f53a82df8aa543b352290cea414bb75c2b59193505e282614df690bd06,linear_weight,1.0,1.0,losing,8.413625694013122e-06,3161598.189406279,3560572.3174560308,61,,,,1
38,38,balancer.eth,0x0f2948f53a82df8aa543b352290cea414bb75c2b59193505e282614df690bd06,whale_90,1.0,1.0,losing,8.413625694013122e-06,3161598.189406279,3560572.3174560308,61,,,,1
39,39,balancer.eth,0x0f2948f53a82df8aa543b352290cea414bb75c2b59193505e282614df690bd06,whale_99,1.0,1.0,losing,8.413625694013122e-06,3161598.189406279,3560572.3174560308,61,,,,1
40,40,balancer.eth,0x0f2948f53a82df8aa543b352290cea414bb75c2b59193505e282614df690bd06,log_whale_99,1.0,1.0,losing,8.413625694013122e-06,3161598.189406279,3560572.3174560308,61,,,,1
41,41,balancer.eth,0x0f2948f53a82df8aa543b352290cea414bb75c2b59193505e282614df690bd06,top_10,1.0,1.0,losing,8.413625694013122e-06,3161598.189406279,3560572.3174560308,61,,,,1
