p,ncr_ratio,revoting_ratio,revoting_adv_ratio,loki_ratio,cast_iron_ratio
0.005000,1.000000,1.000000,1.000000,1.000163,25.000000
0.039138,1.000000,1.000000,1.000000,1.001118,25.000000
0.073276,1.000000,1.000000,1.000000,1.005933,25.000000
0.107414,1.000000,1.000000,1.000000,1.023334,25.000000
0.141552,1.000000,1.000000,1.000000,1.071620,25.000000
0.175690,1.000000,1.000000,1.000000,1.181629,25.000000
0.209828,1.000000,1.000000,1.000000,1.397137,25.000000
0.243966,1.000000,1.000000,1.000000,1.760814,25.000000
0.278103,1.000000,1.000000,1.000000,2.278104,25.000000
0.312241,1.000000,1.000000,1.000000,2.889881,25.000000
0.346379,1.000000,1.000000,1.000000,3.501265,25.000000
0.380517,1.000000,1.000000,1.000000,4.054969,25.000000
0.414655,1.000000,1.000000,1.014083,4.560500,25.000000
0.448793,1.000000,1.000000,1.053091,5.044953,25.000000
0.482931,1.000000,1.000000,1.075305,5.510247,25.000000
0.517069,1.000000,1.000000,1.093856,5.944495,25.000000
0.551207,1.000000,1.000000,1.115222,6.346607,25.000000
0.585345,1.000000,1.000000,1.140560,6.723838,25.000000
0.619483,1.000000,1.000000,1.171774,7.075440,25.000000
0.653621,1.000000,1.000000,1.212346,7.403097,25.000000
0.687759,1.000000,1.000000,1.270145,7.728322,25.000000
0.721897,1.000000,1.000000,1.365876,8.078005,25.000000
0.756034,1.000000,1.000000,1.609788,8.462577,25.000000
0.790172,1.000000,1.000000,4.122187,8.877340,25.000000
0.824310,1.000000,1.000000,5.938799,9.333240,25.000000
0.858448,1.000000,1.000000,8.642531,9.884942,25.000000
0.892586,1.000000,1.009558,11.559960,10.579139,25.000000
0.926724,1.000000,1.061019,16.278901,11.370594,25.000000
0.960862,1.000000,1.081909,20.388870,12.116861,25.000000
0.995000,1.000000,1.160390,31.407281,12.595829,25.000000
